Mission        Instrument                 Sensing Date                                                                           ID                                                                                                                                  Download URL  
Sentinel-1B    SAR-C           2017-02-26T22:04:35.552Z     S1B_IW_SLC__1SDV_20170226T220435_20170226T220502_004477_007CB3_38EF     https://scihub.copernicus.eu/dhus/odata/v1/Products('b17921fb-d03e-45e6-8476-d96a6e5d5fee')/$value
Sentinel-1B    SAR-C           2017-03-05T21:56:06.456Z     S1B_IW_SLC__1SDV_20170305T215606_20170305T215637_004579_007FB4_9FBE     https://scihub.copernicus.eu/dhus/odata/v1/Products('ee30024a-48c5-4679-b3b8-13c4195e9b44')/$value
Sentinel-1B    SAR-C           2017-03-10T22:04:35.686Z     S1B_IW_SLC__1SDV_20170310T220435_20170310T220502_004652_0081D1_B78C     https://scihub.copernicus.eu/dhus/odata/v1/Products('eb3b54f7-6f70-4d59-a638-7c737b585698')/$value
Sentinel-1B    SAR-C           2017-03-22T22:04:35.845Z     S1B_IW_SLC__1SDV_20170322T220435_20170322T220502_004827_0086EE_13B3     https://scihub.copernicus.eu/dhus/odata/v1/Products('eb3b54f7-6f70-4d59-a638-7c737b585698')/$value
Sentinel-1B    SAR-C           2017-04-03T22:04:36.337Z     S1B_IW_SLC__1SDV_20170403T220436_20170403T220503_005002_008BFD_0F62     https://scihub.copernicus.eu/dhus/odata/v1/Products('feae1443-3f9c-49da-8fa5-3a2c486222fb')/$value
Sentinel-1B    SAR-C           2017-04-10T21:56:07.449Z     S1B_IW_SLC__1SDV_20170410T215607_20170410T215638_005104_008EEC_5EC4     https://scihub.copernicus.eu/dhus/odata/v1/Products('dcf816c3-80a4-4e66-9a10-a2eb88e6e97e')/$value
Sentinel-1B    SAR-C           2017-04-15T22:04:36.804Z     S1B_IW_SLC__1SDV_20170415T220436_20170415T220503_005177_0090FC_0FBE     https://scihub.copernicus.eu/dhus/odata/v1/Products('5feb5faa-0b59-461d-a429-0d61d412c05a')/$value
Sentinel-1B    SAR-C           2017-04-22T21:56:08.098Z     S1B_IW_SLC__1SDV_20170422T215608_20170422T215638_005279_0093FA_976E     https://scihub.copernicus.eu/dhus/odata/v1/Products('b16d3592-2296-4ddc-8c4a-effd134d97b5')/$value
Sentinel-1B    SAR-C           2017-04-27T22:04:37.267Z     S1B_IW_SLC__1SDV_20170427T220437_20170427T220504_005352_00961D_F41A     https://scihub.copernicus.eu/dhus/odata/v1/Products('df714227-8e80-458b-a22f-7c2d426a748b')/$value
Sentinel-1B    SAR-C           2017-05-09T22:04:37.935Z     S1B_IW_SLC__1SDV_20170509T220437_20170509T220505_005527_009AF6_C169     https://scihub.copernicus.eu/dhus/odata/v1/Products('b4c042b8-72da-4390-9a5c-fdd3b939d84e')/$value
Sentinel-1B    SAR-C           2017-05-21T22:04:38.596Z     S1B_IW_SLC__1SDV_20170521T220438_20170521T220505_005702_009FD6_4EDC     https://scihub.copernicus.eu/dhus/odata/v1/Products('65eb15aa-954f-4503-860d-469fc3b553f8')/$value
Sentinel-1B    SAR-C           2017-06-02T22:04:39.184Z     S1B_IW_SLC__1SDV_20170602T220439_20170602T220506_005877_00A4E8_D024     https://scihub.copernicus.eu/dhus/odata/v1/Products('f2b67da3-c0ab-43b7-ada4-d3abd4136b63')/$value
Sentinel-1B    SAR-C           2017-06-14T22:04:40.033Z     S1B_IW_SLC__1SDV_20170614T220440_20170614T220507_006052_00AA10_4CC2     https://scihub.copernicus.eu/dhus/odata/v1/Products('5e50b654-b045-4d90-9c87-bdc2ac9ae958')/$value
Sentinel-1B    SAR-C           2017-07-08T22:04:41.335Z     S1B_IW_SLC__1SDV_20170708T220441_20170708T220508_006402_00B41A_0B3C     https://scihub.copernicus.eu/dhus/odata/v1/Products('d3f156ca-aa6e-42c0-9b0c-11e64bb97792')/$value
Sentinel-1A    SAR-C           2017-07-09T09:56:13.540Z     S1A_IW_SLC__1SDV_20170709T095613_20170709T095641_017393_01D0D6_1AC4     https://scihub.copernicus.eu/dhus/odata/v1/Products('1b9a1ece-e668-4897-b8fb-2ec66af3c497')/$value
Sentinel-1B    SAR-C           2017-09-06T22:04:44.280Z     S1B_IW_SLC__1SDV_20170906T220444_20170906T220511_007277_00CD5F_EC78     https://scihub.copernicus.eu/dhus/odata/v1/Products('7c1a5ee0-1d09-451f-9594-a4a1d26f8476')/$value
Sentinel-1A    SAR-C           2017-09-07T09:55:51.742Z     S1A_IW_SLC__1SDV_20170907T095551_20170907T095618_018268_01EB73_EFA1     https://scihub.copernicus.eu/dhus/odata/v1/Products('91c5db28-5d9e-479b-b407-33ef447929a4')/$value
Sentinel-1A    SAR-C           2017-09-07T09:56:16.567Z     S1A_IW_SLC__1SDV_20170907T095616_20170907T095644_018268_01EB73_DF60     https://scihub.copernicus.eu/dhus/odata/v1/Products('d3f1fb08-6138-409b-83d1-20d1753eee17')/$value
Sentinel-1B    SAR-C           2017-09-25T21:56:16.048Z     S1B_IW_SLC__1SDV_20170925T215616_20170925T215646_007554_00D563_8457     https://scihub.copernicus.eu/dhus/odata/v1/Products('e8edfe33-2398-4b8d-b103-bf9a3f7b3f52')/$value
Sentinel-1B    SAR-C           2018-02-21T22:04:42.106Z     S1B_IW_SLC__1SDV_20180221T220442_20180221T220509_009727_0118FD_5CE1     https://scihub.copernicus.eu/dhus/odata/v1/Products('23548d15-33a6-48d0-bea5-546a0803b47e')/$value
Sentinel-1B    SAR-C           2018-04-17T21:56:14.042Z     S1B_IW_SLC__1SDV_20180417T215614_20180417T215644_010529_01332E_F16D     https://scihub.copernicus.eu/dhus/odata/v1/Products('083a4aef-1a2d-4616-8c44-14e280f1086b')/$value
Sentinel-1B    SAR-C           2018-05-04T22:04:44.078Z     S1B_IW_SLC__1SDV_20180504T220444_20180504T220511_010777_013B28_00BA     https://scihub.copernicus.eu/dhus/odata/v1/Products('220a2a03-e0fb-4268-bf12-2bf4f29b9b5f')/$value
Sentinel-1B    SAR-C           2018-05-16T22:04:44.542Z     S1B_IW_SLC__1SDV_20180516T220444_20180516T220511_010952_0140CF_799F     https://scihub.copernicus.eu/dhus/odata/v1/Products('97e0c138-4213-4bc9-a234-0607f8f9767c')/$value
Sentinel-1B    SAR-C           2018-05-28T22:04:45.315Z     S1B_IW_SLC__1SDV_20180528T220445_20180528T220512_011127_014682_41FF     https://scihub.copernicus.eu/dhus/odata/v1/Products('5f312179-a540-409e-9f97-5291f3616ab4')/$value
Sentinel-1B    SAR-C           2018-06-09T22:04:46.187Z     S1B_IW_SLC__1SDV_20180609T220446_20180609T220513_011302_014C06_C56F     https://scihub.copernicus.eu/dhus/odata/v1/Products('b03be4d9-5aa5-4b4f-a78f-86f958fc4e81')/$value
Sentinel-1B    SAR-C           2018-07-10T21:56:18.841Z     S1B_IW_SLC__1SDV_20180710T215618_20180710T215649_011754_0159FF_E20B     https://scihub.copernicus.eu/dhus/odata/v1/Products('80d75037-78e2-4827-8322-f9ca14e663b4')/$value
Sentinel-1B    SAR-C           2018-07-15T22:04:48.266Z     S1B_IW_SLC__1SDV_20180715T220448_20180715T220515_011827_015C47_AFA6     https://scihub.copernicus.eu/dhus/odata/v1/Products('be7ea588-98a3-4717-8434-abe7379c6e25')/$value
Sentinel-1A    SAR-C           2018-08-09T09:55:56.923Z     S1A_IW_SLC__1SDV_20180809T095556_20180809T095623_023168_028454_09B0     https://scihub.copernicus.eu/dhus/odata/v1/Products('32169a4c-eca2-4ef0-ba28-c84c920de229')/$value
Sentinel-1A    SAR-C           2018-08-09T09:56:21.756Z     S1A_IW_SLC__1SDV_20180809T095621_20180809T095649_023168_028454_2F78     https://scihub.copernicus.eu/dhus/odata/v1/Products('4f1c0488-d594-4f9c-89d0-b41ea5d9a658')/$value
Sentinel-1B    SAR-C           2018-08-20T22:04:45.966Z     S1B_IW_SLC__1SDV_20180820T220445_20180820T220512_012352_016C5A_F844     https://scihub.copernicus.eu/dhus/odata/v1/Products('3e49baf4-7ad9-46c4-aeda-e0420ade2e25')/$value
