Mission        Instrument                 Sensing Date                                                                 ID                                                                                                                                      Download URL  
Sentinel-1A    SAR-C           2018-10-08T05:27:55.858Z     S1A_IW_SLC__1SDV_20181008T052755_20181008T052822_024040_02A081_3524     https://scihub.copernicus.eu/dhus/odata/v1/Products('5ad298c4-3e9d-4e6f-a8ee-a7a364c062d4')/$value
Sentinel-1A    SAR-C           2017-09-14T16:23:10.033Z     S1A_IW_SLC__1SDV_20170914T162310_20170914T162337_018374_01EECC_5521     https://scihub.copernicus.eu/dhus/odata/v1/Products('942d1a0a-cc6f-4559-8224-9f44575626dd')/$value
Sentinel-1A    SAR-C           2017-05-28T04:51:50.537Z     S1A_IW_SLC__1SDV_20170528T045150_20170528T045217_016777_01BE0F_F137     https://scihub.copernicus.eu/dhus/odata/v1/Products('bfb7dc3b-6fd9-4c6a-9845-8eae4e54eb5d')/$value
Sentinel-1A    SAR-C           2015-10-08T05:58:18.800Z     S1A_IW_SLC__1SDV_20151008T055818_20151008T055845_008057_00B493_75F9     https://scihub.copernicus.eu/dhus/odata/v1/Products('c2fdea42-4773-43a8-bff1-9622ca7684ca')/$value
Sentinel-1A    SAR-C           2019-11-27T14:42:26.921Z     S1A_IW_SLC__1SDV_20191127T144226_20191127T144253_030098_037027_BDDE     https://scihub.copernicus.eu/dhus/odata/v1/Products('1804344c-6e8c-4a0c-bb90-6ccddcb4c1a5')/$value
Sentinel-1A    SAR-C           2018-04-01T21:50:49.788Z     S1A_IW_SLC__1SDV_20180401T215049_20180401T215116_021279_0249B3_6A96     https://scihub.copernicus.eu/dhus/odata/v1/Products('4401fad5-c029-4c40-b24a-97038c1f3494')/$value
Sentinel-1A    SAR-C           2018-07-03T15:48:33.424Z     S1A_IW_SLC__1SDV_20180703T154833_20180703T154900_022632_0273B9_D330     https://scihub.copernicus.eu/dhus/odata/v1/Products('ff380b7f-12e8-4af7-889d-13f3b4d00f3c')/$value
Sentinel-1A    SAR-C           2018-03-17T15:48:28.411Z     S1A_IW_SLC__1SDV_20180317T154828_20180317T154855_021057_0242AC_02CE     https://scihub.copernicus.eu/dhus/odata/v1/Products('2559430e-7a20-41e1-a60a-6386b276adfe')/$value
Sentinel-1A    SAR-C           2017-07-20T15:48:28.096Z     S1A_IW_SLC__1SDV_20170720T154828_20170720T154855_017557_01D5D3_3F9D     https://scihub.copernicus.eu/dhus/odata/v1/Products('b086e5a9-4891-4c15-ab8d-4a553005edc4')/$value
Sentinel-1A    SAR-C           2016-08-06T15:48:29.171Z     S1A_IW_SLC__1SDV_20160806T154829_20160806T154856_012482_013835_1E4D     https://scihub.copernicus.eu/dhus/odata/v1/Products('61bfc3ce-f563-4a16-ac0a-916feb9d58c3')/$value
Sentinel-1A    SAR-C           2015-07-19T15:48:26.909Z     S1A_IW_SLC__1SDV_20150719T154826_20150719T154853_006882_0094A6_886D     https://scihub.copernicus.eu/dhus/odata/v1/Products('c59181b1-06af-46d9-94ef-4f4c77b8ebf8')/$value
Sentinel-1A    SAR-C           2015-04-26T15:48:22.797Z     S1A_IW_SLC__1SDV_20150426T154822_20150426T154849_005657_007411_A6D1     https://scihub.copernicus.eu/dhus/odata/v1/Products('606f4982-32e1-49db-b7fa-c2dab3d7c8f9')/$value
Sentinel-1A    SAR-C           2015-04-19T15:56:32.267Z     S1A_IW_SLC__1SDV_20150419T155632_20150419T155659_005555_0071AF_6E54     https://scihub.copernicus.eu/dhus/odata/v1/Products('ddeb565f-915b-4eae-a03d-2c40964946f2')/$value
Sentinel-1A    SAR-C           2015-04-02T15:48:21.565Z     S1A_IW_SLC__1SDV_20150402T154821_20150402T154848_005307_006B79_BB53     https://scihub.copernicus.eu/dhus/odata/v1/Products('f6bb7869-e89f-4e44-be84-b47aefa72b5a')/$value
Sentinel-1B    SAR-C           2019-04-11T15:48:10.245Z     S1B_IW_SLC__1SDV_20190411T154810_20190411T154837_015761_01D947_7083     https://scihub.copernicus.eu/dhus/odata/v1/Products('b2cce64c-b2ec-4c0a-b727-8d686fe64f7b')/$value
Sentinel-1B    SAR-C           2018-11-19T03:51:32.120Z     S1B_IW_SLC__1SDV_20181119T035132_20181119T035159_013668_0194FD_BB46     https://scihub.copernicus.eu/dhus/odata/v1/Products('0ee81a17-db7f-494a-947d-64585695a969')/$value
Sentinel-1B    SAR-C           2018-11-18T15:48:12.625Z     S1B_IW_SLC__1SDV_20181118T154812_20181118T154839_013661_0194BF_5C74     https://scihub.copernicus.eu/dhus/odata/v1/Products('b9d26402-2658-404e-9748-212dbfabfb0b')/$value
Sentinel-1B    SAR-C           2017-12-30T03:51:23.960Z     S1B_IW_SLC__1SDV_20171230T035123_20171230T035150_008943_00FF46_D947     https://scihub.copernicus.eu/dhus/odata/v1/Products('845d7247-3119-47b9-9721-cffa4db3db5e')/$value
Sentinel-1B    SAR-C           2017-05-03T15:47:47.401Z     S1B_IW_SLC__1SDV_20170503T154747_20170503T154808_005436_009871_397B     https://scihub.copernicus.eu/dhus/odata/v1/Products('053db904-a54e-468b-9abb-da10f24c8d5f')/$value
Sentinel-1B    SAR-C           2017-04-22T03:51:20.095Z     S1B_IW_SLC__1SDV_20170422T035120_20170422T035147_005268_0093A2_2BAC     https://scihub.copernicus.eu/dhus/odata/v1/Products('f659cf36-1790-4c39-810a-125bcd5fb1bb')/$value
Sentinel-1B    SAR-C           2017-02-09T03:51:18.658Z     S1B_IW_SLC__1SDV_20170209T035118_20170209T035145_004218_0074F7_3CFF     https://scihub.copernicus.eu/dhus/odata/v1/Products('ca41adb2-2804-4835-9b86-ba92edc592cc')/$value
Sentinel-1B    SAR-C           2019-10-13T03:21:40.066Z     S1B_IW_SLC__1SDV_20191013T032140_20191013T032209_018451_022C28_D0F5     https://scihub.copernicus.eu/dhus/odata/v1/Products('8805e8b1-77b8-4c68-a862-1e2e9634c12f')/$value
Sentinel-1B    SAR-C           2019-10-13T03:22:07.652Z     S1B_IW_SLC__1SDV_20191013T032207_20191013T032235_018451_022C28_37FF     https://scihub.copernicus.eu/dhus/odata/v1/Products('1723c827-2f4d-46e7-a0f3-94748c527042')/$value
Sentinel-1B    SAR-C           2017-06-19T05:43:29.299Z     S1B_IW_SLC__1SDV_20170619T054329_20170619T054356_006115_00ABDC_9D61     https://scihub.copernicus.eu/dhus/odata/v1/Products('1093dda2-53e6-4db9-a6cd-a5773bb5e480')/$value
Sentinel-1A    SAR-C           2014-10-04T15:48:23.759Z     S1A_IW_SLC__1SDV_20141004T154823_20141004T154851_002682_002FE4_C094     https://scihub.copernicus.eu/dhus/odata/v1/Products('9981786b-f1a6-438c-9a50-41fefdb9a192')/$value
Sentinel-1A    SAR-C           2017-08-10T02:47:12.882Z     S1A_IW_SLC__1SDV_20170810T024712_20170810T024738_017855_01DEF7_445E     https://scihub.copernicus.eu/dhus/odata/v1/Products('6d0f5b79-abbb-4b1b-8c3a-2d50e16948f7')/$value
Sentinel-1A    SAR-C           2018-04-13T21:50:50.234Z     S1A_IW_SLC__1SDV_20180413T215050_20180413T215117_021454_024F28_4344     https://scihub.copernicus.eu/dhus/odata/v1/Products('ea03794e-fdd2-467c-9d0a-12ad55cb8bf8')/$value
Sentinel-1A    SAR-C           2018-10-09T17:14:27.340Z     S1A_IW_SLC__1SDV_20181009T171427_20181009T171454_024062_02A131_CCBB     https://scihub.copernicus.eu/dhus/odata/v1/Products('7f990538-7e9f-4671-a9cd-ef2d65ff841f')/$value
Sentinel-1B    SAR-C           2018-10-08T17:21:44.354Z     S1B_IW_SLC__1SDV_20181008T172144_20181008T172211_013064_01822C_F065     https://scihub.copernicus.eu/dhus/odata/v1/Products('6beb4501-4d2f-450d-91e9-21d6036f463c')/$value
Sentinel-1B    SAR-C           2017-05-03T15:48:14.035Z     S1B_IW_SLC__1SDV_20170503T154814_20170503T154843_005436_009872_D47B     https://scihub.copernicus.eu/dhus/odata/v1/Products('958176c8-fd61-479b-b1b1-cd1837ef667f')/$value
Sentinel-1B    SAR-C           2020-09-25T15:56:24.198Z     S1B_IW_SLC__1SDV_20200925T155624_20200925T155650_023534_02CB53_F6CF     https://scihub.copernicus.eu/dhus/odata/v1/Products('d7f4f9b5-489e-49f8-895e-6bbfbcb301c6')/$value
Sentinel-1A    SAR-C           2019-08-04T03:52:12.119Z     S1A_IW_SLC__1SDV_20190804T035212_20190804T035240_028414_0335FE_2C1E     https://scihub.copernicus.eu/dhus/odata/v1/Products('a85af42e-46d8-4ec1-b7dd-bfd53afe9de5')/$value
Sentinel-1A    SAR-C           2019-08-28T03:52:13.450Z     S1A_IW_SLC__1SDV_20190828T035213_20190828T035241_028764_0341F0_FF5C     https://scihub.copernicus.eu/dhus/odata/v1/Products('e9c1e065-38cc-44d1-acf6-e81ed494b81f')/$value
